,Element,Count,weightage
160,exploratory data analysis,2,0.007518796992481203
161,ssis,2,0.007518796992481203
162,linux,2,0.007518796992481203
163,marketing analytics,2,0.007518796992481203
164,multivariate analysis,2,0.007518796992481203
165,shell scripting,2,0.007518796992481203
166,business analytics,2,0.007518796992481203
167,ai analytics,2,0.007518796992481203
168,ssrs,2,0.007518796992481203
169,c++,2,0.007518796992481203
170,correlation,2,0.007518796992481203
171,apache,2,0.007518796992481203
172,grads,2,0.007518796992481203
173,metadata,2,0.007518796992481203
174,transfer learning,2,0.007518796992481203
175,business services,2,0.007518796992481203
176,scheduling,2,0.007518796992481203
177,operations research,2,0.007518796992481203
178,decision trees,2,0.007518796992481203
179,ms sql,2,0.007518796992481203
180,spotfire,1,0.0
181,problem-solving,1,0.0
182,mlops,1,0.0
183,java script,1,0.0
184,ml frameworks,1,0.0
185,torch,1,0.0
186,ci/cd pipeline,1,0.0
187,analytics strategy,1,0.0
188,r code,1,0.0
189,technical designs,1,0.0
190,aws textract,1,0.0
191,sql and no sql databases,1,0.0
192,industrial use cases,1,0.0
193,analytical models,1,0.0
194,adobe campaign,1,0.0
195,pyspark,1,0.0
196,sql server,1,0.0
197,powerpoint,1,0.0
198,tidyverse,1,0.0
199,stanford-nlp,1,0.0
200,nlp pipeline,1,0.0
201,azure data factory,1,0.0
202,implementing ml,1,0.0
203,build/deplay/manage solutions,1,0.0
204,sas programming,1,0.0
205,etl development,1,0.0
206,cicd methods,1,0.0
207,business analysts,1,0.0
208,scikit,1,0.0
209,and sql.tensorflow,1,0.0
210,wordnet,1,0.0
211,lda,1,0.0
212,prototype,1,0.0
213,grammar,1,0.0
214,count vectorization,1,0.0
215,python scripting,1,0.0
216,ocr,1,0.0
217,naivebayes,1,0.0
218,seaborn,1,0.0
219,aa,1,0.0
220,statistical algorithms,1,0.0
221,workflow management,1,0.0
222,infrastructure,1,0.0
223,ibm datacap,1,0.0
224,abby flexi capture,1,0.0
225,automation,1,0.0
226,vmware,1,0.0
227,networking,1,0.0
228,virtualization,1,0.0
229,amazon web services,1,0.0
230,statistical analyst,1,0.0
231,mongodb,1,0.0
232,data pipeline,1,0.0
233,subject matter expert,1,0.0
234,abby fine reader,1,0.0
235,credit risk management,1,0.0
236,ddl,1,0.0
237,risk analytics,1,0.0
238,bp,1,0.0
239,scorecard,1,0.0
240,bagging and boosting,1,0.0
241,roc curve,1,0.0
242,product engineering,1,0.0
243, machine learning,1,0.0
244, data management,1,0.0
245, random forests,1,0.0
246,nn,1,0.0
247,lift analysis,1,0.0
248,.,1,0.0
249,data wrangling ,1,0.0
250,phd,1,0.0
251,lstms,1,0.0
252,artificial neural networks,1,0.0
253,payment processing,1,0.0
254,presales,1,0.0
255,spss,1,0.0
256,predictive modelling,1,0.0
257,anaconda,1,0.0
258,causal inference,1,0.0
259,production machine learning tools,1,0.0
260,frequentist statistical inference,1,0.0
261,git,1,0.0
262,web technologies,1,0.0
263,siemens,1,0.0
264,data manipulation,1,0.0
265,storm,1,0.0
266,ci - cd,1,0.0
267,object detection,1,0.0
268,data extraction,1,0.0
269,project delivery,1,0.0
270,azure devops,1,0.0
271,azure migration,1,0.0
272,regression modeling,1,0.0
273,customer service,1,0.0
274,data,1,0.0
275,telematics,1,0.0
276,data visualization,1,0.0
277,automotive,1,0.0
278,data visualization tools,1,0.0
279,people analytics,1,0.0
280,performance management,1,0.0
281,business communication,1,0.0
282,troubleshooting,1,0.0
283,risk management,1,0.0
284,global marketing,1,0.0
285,supply chain,1,0.0
286,continuous improvement,1,0.0
287,performance tuning,1,0.0
288,pdf,1,0.0
289,simulation,1,0.0
290,data preparation,1,0.0
291,manager quality assurance,1,0.0
292,exploratory testing,1,0.0
293,data structure,1,0.0
294,assurance,1,0.0
295,product reliability analytics,1,0.0
296,freshers,1,0.0
297,it services,1,0.0
298,medical devices,1,0.0
299,kubernetes,1,0.0
300,cloud native,1,0.0
301,pharma,1,0.0
302,life sciences,1,0.0
303,interpersonal skills,1,0.0
304,circuit designing,1,0.0
305,consulting,1,0.0
306,information architecture,1,0.0
307,usage,1,0.0
308,accounts receivable,1,0.0
309,financial services,1,0.0
310,service level,1,0.0
311,claims,1,0.0
312,expense management,1,0.0
313,fixed assets,1,0.0
314,angularjs,1,0.0
315,software testing,1,0.0
316,modelling,1,0.0
317,h2o,1,0.0
318,safe agile,1,0.0
319,factory analytics,1,0.0
320,azure databricks,1,0.0
321,web services,1,0.0
322,postgresql,1,0.0
323,data warehousing,1,0.0
324,sdlc,1,0.0
325,learning,1,0.0
326,client servicing,1,0.0
327,powerbi,1,0.0
328,topic modeling,1,0.0
329,application programming,1,0.0
330,social networking,1,0.0
331,fmcg,1,0.0
332,recruitment,1,0.0
333,opennlp,1,0.0
334,pig,1,0.0
335,sparkml,1,0.0
336,solr,1,0.0
337,communication skills,1,0.0
